source,id,order,lat,lon,latlon_q,elevation,slope,aspect,horizon,depth2,depth1,depth,mineral_d,ff_d,total_d,bulk_density,cf,cconc,ccontent,total_c,ccontent_1m,total_c_1m
SANBORN & MASSICOTTE 2010,BC09-03,Placic Humic Podzol,54.07275,-131.68861111,HIGH,"NA","NA","NA",Fm,19,15,4,NA,NA,NA,0.11,NA,53.76,2365.4399999999996,NA,2365.4399999999996,NA
SANBORN & MASSICOTTE 2010,BC09-03,Placic Humic Podzol,54.07275,-131.68861111,HIGH,"NA","NA","NA",Hh,15,0,15,NA,NA,NA,0.11,NA,52.2,8613,NA,8613,NA
SANBORN & MASSICOTTE 2010,BC09-03,Placic Humic Podzol,54.07275,-131.68861111,HIGH,"NA","NA","NA",Aeg,0,-12,12,NA,NA,NA,0.60699999999999998,NA,7.24,5273.616,NA,5273.616,NA
SANBORN & MASSICOTTE 2010,BC09-03,Placic Humic Podzol,54.07275,-131.68861111,HIGH,"NA","NA","NA",Bhc,-12,-72,60,NA,NA,NA,1.403,NA,1.7,14310.6,NA,14310.6,NA
SANBORN & MASSICOTTE 2010,BC09-03,Placic Humic Podzol,54.07275,-131.68861111,HIGH,"NA","NA","NA",Bfc,-72,-75,3,NA,NA,NA,1.4419999999999999,NA,2.14,925.76400000000001,NA,925.76400000000001,NA
SANBORN & MASSICOTTE 2010,BC09-03,Placic Humic Podzol,54.07275,-131.68861111,HIGH,"NA","NA","NA",BC,-75,-125,50,NA,NA,NA,1.4419999999999999,NA,0.43,3100.2999999999997,NA,1550.1499999999996,NA
SANBORN & MASSICOTTE 2010,BC09-03,Placic Humic Podzol,54.07275,-131.68861111,HIGH,"NA","NA","NA",Cg,-125,-150,25,NA,NA,NA,1.542,NA,0.21,809.55,NA,0,NA
SANBORN & MASSICOTTE 2010,BC09-06,Placic Humic Podzol,54.022,-131.70916667,HIGH,"NA","NA","NA",Lv/S,40,39,1,100,40,140,0.11,NA,56.2,618.20000000000005,48860.081000000006,618.20000000000005,473.93135
SANBORN & MASSICOTTE 2010,BC09-06,Placic Humic Podzol,54.022,-131.70916667,HIGH,"NA","NA","NA",Fm,39,35,4,NA,NA,NA,0.11,NA,50.51,2222.44,NA,2222.44,NA
SANBORN & MASSICOTTE 2010,BC09-06,Placic Humic Podzol,54.022,-131.70916667,HIGH,"NA","NA","NA",Hh1,35,23,12,NA,NA,NA,0.11,NA,53.21,7023.72,NA,7023.72,NA
SANBORN & MASSICOTTE 2010,BC09-06,Placic Humic Podzol,54.022,-131.70916667,HIGH,"NA","NA","NA",Hh2,23,20,3,NA,NA,NA,0.11,NA,50.9,1679.7,NA,1679.7,NA
SANBORN & MASSICOTTE 2010,BC09-06,Placic Humic Podzol,54.022,-131.70916667,HIGH,"NA","NA","NA",Hh3,20,10,10,NA,NA,NA,0.11,NA,55.46,6100.5999999999995,NA,6100.5999999999995,NA
SANBORN & MASSICOTTE 2010,BC09-06,Placic Humic Podzol,54.022,-131.70916667,HIGH,"NA","NA","NA",Hh4,10,0,10,NA,NA,NA,0.11,NA,47.58,5233.8,NA,5233.8,NA
SANBORN & MASSICOTTE 2010,BC09-06,Placic Humic Podzol,54.022,-131.70916667,HIGH,"NA","NA","NA",Ae,0,-10,10,NA,NA,NA,1.385,NA,4.42,6121.7,NA,6121.7,NA
SANBORN & MASSICOTTE 2010,BC09-06,Placic Humic Podzol,54.022,-131.70916667,HIGH,"NA","NA","NA",Bhc1,-10,-35,25,NA,NA,NA,1.385,NA,1.96,6786.5,NA,6786.5,NA
SANBORN & MASSICOTTE 2010,BC09-06,Placic Humic Podzol,54.022,-131.70916667,HIGH,"NA","NA","NA",Bhc2,-35,-82,47,NA,NA,NA,1.542,NA,1.42,10291.307999999999,NA,10291.307999999999,NA
SANBORN & MASSICOTTE 2010,BC09-06,Placic Humic Podzol,54.022,-131.70916667,HIGH,"NA","NA","NA",Bfc,-82,-85,3,NA,NA,NA,1.542,NA,1.67,772.54200000000003,NA,772.54200000000003,NA
SANBORN & MASSICOTTE 2010,BC09-06,Placic Humic Podzol,54.022,-131.70916667,HIGH,"NA","NA","NA",BC,-85,-130,45,NA,NA,NA,1.4470000000000001,NA,0.25,1627.875,NA,542.625,NA
SANBORN & MASSICOTTE 2010,BC09-06,Placic Humic Podzol,54.022,-131.70916667,HIGH,"NA","NA","NA",Cg,-130,-162,32,NA,NA,NA,1.4910000000000001,NA,0.08,381.69600000000003,NA,0,NA
SANBORN & MASSICOTTE 2010,BC09-07,"NA",54.06908333,-131.67722222,HIGH,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,"NA","NA",0,"NA",NA
SANBORN & LAVKULICH 1989,BANFIELD,Ferro-Humic Podzol,48.83333333,-125.13333333,LOW,30,12.5,NE,Oi,14,13,1,51,14,65,0.11,NA,49.5,544.5,97885.4,544.5,978.8539999999999
SANBORN & LAVKULICH 1989,BANFIELD,Ferro-Humic Podzol,48.83333333,-125.13333333,LOW,30,12.5,NE,Oe,13,8,5,NA,NA,NA,0.11,NA,48.3,2656.5,NA,2656.5,NA
