"","source","id","order","lat","lon","latlon_q","horizon","depth1","depth2","total_depth","bulk_density","cf","cconc","ccontent_1m","depth_100","slope","cconc_y","horizon_simple","cf_1_values","ccontent","carbon_stock","carbon_stock_1M"
"21","KRANABETTER AND BANNER 2000",NA,"Orthic Ferro-Humic Podozol",54.2252777777777,-130.159722222222,"HIGH","Fm",9,10,1,0.11,0,54.7233333333333,601.956666666667,1,54.7233333333333,27.3616666666667,"F",0,601.956666666667,6.01956666666667,66.2152333333333
"22","KRANABETTER AND BANNER 2000",NA,"Orthic Ferro-Humic Podozol",54.2252777777777,-130.159722222222,"HIGH","Hr",1,9,8,0.11,0,54.7233333333333,4815.65333333333,8,6.84041666666667,27.3616666666667,"H",0,4815.65333333333,48.1565333333333,4237.77493333333
"23","KRANABETTER AND BANNER 2000",NA,"Orthic Ferro-Humic Podozol",54.2252777777777,-130.159722222222,"HIGH","Hh",0,1,1,0.11,0,54.7233333333333,601.956666666667,1,54.7233333333333,27.3616666666667,"H",0,601.956666666667,6.01956666666667,66.2152333333333
"24","KRANABETTER AND BANNER 2000",NA,"Orthic Ferro-Humic Podozol",54.2252777777777,-130.159722222222,"HIGH","Bhf1",-15,0,15,0.86,40,5.27,4078.98,15,0.351333333333333,2.635,"B",40,4078.98,67.983,52618.842
"25","KRANABETTER AND BANNER 2000",NA,"Orthic Ferro-Humic Podozol",54.2252777777777,-130.159722222222,"HIGH","Bhf2",-50,-15,35,0.86,40,4.45664540816326,8048.70160714286,35,0.127332725947522,2.22832270408163,"B",40,8048.70160714286,134.145026785714,242265.918375
"26","KRANABETTER AND BANNER 2000",NA,"Orthic Ferro-Humic Podozol",54.2252777777777,-130.159722222222,"HIGH","BC",-100,-50,50,1.71,40,1.646875,8448.46875,50,0.0329375,0.8234375,"B",40,8448.46875,140.8078125,722344.078125
"27","KRANABETTER AND BANNER 2000","SmithIsland5","Orthic Ferro-Humic Podozol",54.1805555555555,-130.218055555555,"HIGH","L",14,15,1,0.11,0,54.15,595.65,1,54.15,27.075,"L",0,595.65,5.9565,65.5215
"28","KRANABETTER AND BANNER 2000",NA,"Orthic Ferro-Humic Podozol",54.1805555555555,-130.218055555555,"HIGH","Hr",3,14,11,0.11,0,54.15,6552.15,11,4.92272727272727,27.075,"H",0,6552.15,65.5215,7928.1015
"29","KRANABETTER AND BANNER 2000",NA,"Orthic Ferro-Humic Podozol",54.1805555555555,-130.218055555555,"HIGH","Hzi",0,3,3,0.11,0,54.15,1786.95,3,18.05,27.075,"H",0,1786.95,17.8695,589.6935
"30","KRANABETTER AND BANNER 2000",NA,"Orthic Ferro-Humic Podozol",54.1805555555555,-130.218055555555,"HIGH","Ae",-1,0,1,0.93,0,10.49,975.57,1,10.49,5.245,"A",0,975.57,9.7557,907.2801
"31","KRANABETTER AND BANNER 2000",NA,"Orthic Ferro-Humic Podozol",54.1805555555555,-130.218055555555,"HIGH","Bhf",-40,-1,39,0.86,20,10.49,28146.768,39,0.268974358974359,5.245,"B",20,28146.768,351.8346,944042.59872
"32","KRANABETTER AND BANNER 2000",NA,"Orthic Ferro-Humic Podozol",54.1805555555555,-130.218055555555,"HIGH","BC",-90,-40,50,1.71,20,3.74642857142857,25625.5714285714,50,0.0749285714285714,1.87321428571429,"B",20,25625.5714285714,320.319642857143,2190986.35714286
"33","KRANABETTER AND BANNER 2000","Giltoyees6","Hemic Folisol (used podzol Db)",53.7902777777777,-128.968055555555,"HIGH","L",45,46,1,0.14,0,56.7933333333333,795.106666666667,1,56.7933333333333,28.3966666666667,"L",0,795.106666666667,7.95106666666667,111.314933333333
"34","KRANABETTER AND BANNER 2000",NA,"Hemic Folisol (used podzol Db)",53.7902777777777,-128.968055555555,"HIGH","Hr",0,45,45,0.14,0,56.7933333333333,35779.8,45,1.26207407407407,28.3966666666667,"H",0,35779.8,357.798,225412.74
"35","KRANABETTER AND BANNER 2000",NA,"Hemic Folisol (used podzol Db)",53.7902777777777,-128.968055555555,"HIGH","C",-1,0,1,1.74,0,6.71,1167.54,1,6.71,3.355,"C",0,1167.54,11.6754,2031.5196
"36","KRANABETTER AND BANNER 2000","WorkIs7","Orthic Humo-Ferric Podzol",53.1761111111111,-128.669444444444,"HIGH","L",10,11,1,0.14,0,50.5433333333333,707.606666666667,1,50.5433333333333,25.2716666666667,"L",0,707.606666666667,7.07606666666667,99.0649333333333
"37","KRANABETTER AND BANNER 2000",NA,"Orthic Humo-Ferric Podzol",53.1761111111111,-128.669444444444,"HIGH","Hr",2,10,8,0.14,0,50.5433333333333,5660.85333333333,8,6.31791666666667,25.2716666666667,"H",0,5660.85333333333,56.6085333333333,6340.15573333333
"38","KRANABETTER AND BANNER 2000",NA,"Orthic Humo-Ferric Podzol",53.1761111111111,-128.669444444444,"HIGH","Hh",0,2,2,0.14,0,50.5433333333333,1415.21333333333,2,25.2716666666667,25.2716666666667,"H",0,1415.21333333333,14.1521333333333,396.259733333333
"39","KRANABETTER AND BANNER 2000",NA,"Orthic Humo-Ferric Podzol",53.1761111111111,-128.669444444444,"HIGH","Ae",-5,0,5,1.31,12,3.75,2161.5,5,0.75,1.875,"A",12,2161.5,24.5625,14157.825
"40","KRANABETTER AND BANNER 2000",NA,"Orthic Humo-Ferric Podzol",53.1761111111111,-128.669444444444,"HIGH","Bf",-100,-5,95,1.46,12,2.2265625,27176.53125,95,0.0234375,1.11328125,"B",12,27176.53125,308.82421875,3769384.884375
"41","KRANABETTER AND BANNER 2000","Boatbluff8","Orthic Ferro-Humic Podozol",52.6552777777777,-128.728611111111,"HIGH","L",17,18,1,0.11,0,53.9633333333333,593.596666666667,1,53.9633333333333,26.9816666666667,"L",0,593.596666666667,5.93596666666667,65.2956333333333
"42","KRANABETTER AND BANNER 2000",NA,"Orthic Ferro-Humic Podozol",52.6552777777777,-128.728611111111,"HIGH","Hr",12,17,5,0.11,0,53.9633333333333,2967.98333333333,5,10.7926666666667,26.9816666666667,"H",0,2967.98333333333,29.6798333333333,1632.39083333333
"43","KRANABETTER AND BANNER 2000",NA,"Orthic Ferro-Humic Podozol",52.6552777777777,-128.728611111111,"HIGH","Hh",0,12,12,0.11,0,53.9633333333333,7123.16,12,4.49694444444444,26.9816666666667,"H",0,7123.16,71.2316,9402.5712
"44","KRANABETTER AND BANNER 2000",NA,"Orthic Ferro-Humic Podozol",52.6552777777777,-128.728611111111,"HIGH","Bhf",-40,0,40,0.86,60,3.76,5173.76,40,0.094,1.88,"B",60,5173.76,129.344,177977.344
"45","KRANABETTER AND BANNER 2000",NA,"Orthic Ferro-Humic Podozol",52.6552777777777,-128.728611111111,"HIGH","BC",-75,-40,35,1.71,60,1.19636363636364,2864.09454545455,35,0.0341818181818182,0.598181818181818,"B",60,2864.09454545455,71.6023636363636,171416.058545455
"46","KRANABETTER AND BANNER 2000","Aristazabal9","Orthic Humo-Ferric Podzol",52.6825,-129.052777777777,"HIGH","L",7,8,1,0.14,0,55.2366666666667,773.313333333333,1,55.2366666666667,27.6183333333333,"L",0,773.313333333333,7.73313333333333,108.263866666667
"47","KRANABETTER AND BANNER 2000",NA,"Orthic Humo-Ferric Podzol",52.6825,-129.052777777777,"HIGH","Hr",0.5,7,6.5,0.14,0,55.2366666666667,5026.53666666667,6.5,8.49794871794872,27.6183333333333,"H",0,5026.53666666667,50.2653666666667,4574.14836666667
"48","KRANABETTER AND BANNER 2000",NA,"Orthic Humo-Ferric Podzol",52.6825,-129.052777777777,"HIGH","Hh",0,0.5,0.5,0.14,0,55.2366666666667,386.656666666667,0.5,110.473333333333,27.6183333333333,"H",0,386.656666666667,3.86656666666667,27.0659666666667
"49","KRANABETTER AND BANNER 2000",NA,"Orthic Humo-Ferric Podzol",52.6825,-129.052777777777,"HIGH","Bf",-30,0,30,1.46,5,4.95,20596.95,30,0.165,2.475,"B",5,20596.95,216.81,902146.41
"50","KRANABETTER AND BANNER 2000",NA,"Orthic Humo-Ferric Podzol",52.6825,-129.052777777777,"HIGH","Bhf",-32,-30,2,1.46,5,0.4125,114.4275,2,0.20625,0.20625,"B",5,114.4275,1.2045,334.1283
"51","KRANABETTER AND BANNER 2000","EmilyCarr10","Orthic Drystic Burnisol",52.97,-129.1925,"HIGH","L",12,13,1,0.16,0,56.8133333333333,909.013333333333,1,56.8133333333333,28.4066666666667,"L",0,909.013333333333,9.09013333333333,145.442133333333
"52","KRANABETTER AND BANNER 2000",NA,"Orthic Drystic Burnisol",52.97,-129.1925,"HIGH","Fm",10,12,2,0.16,0,56.8133333333333,1818.02666666667,2,28.4066666666667,28.4066666666667,"F",0,1818.02666666667,18.1802666666667,581.768533333333
"53","KRANABETTER AND BANNER 2000",NA,"Orthic Drystic Burnisol",52.97,-129.1925,"HIGH","Hr",0,10,10,0.16,0,56.8133333333333,9090.13333333334,10,5.68133333333333,28.4066666666667,"H",0,9090.13333333334,90.9013333333333,14544.2133333333
"54","KRANABETTER AND BANNER 2000",NA,"Orthic Drystic Burnisol",52.97,-129.1925,"HIGH","Bm",-30,0,30,1.45,15,1.15,4252.125,30,0.0383333333333333,0.575,"B",15,4252.125,50.025,184967.4375
"55","KRANABETTER AND BANNER 2000",NA,"Orthic Drystic Burnisol",52.97,-129.1925,"HIGH","Bhf",-32,-30,2,1.03,15,0.0958333333333332,16.7804166666666,2,0.0479166666666666,0.0479166666666666,"B",15,16.7804166666666,0.197416666666666,34.5676583333333
"56","KRANABETTER AND BANNER 2000","Campania11","Orthic Drystic Burnisol",53.0877777777777,-129.472777777777,"HIGH","L",5,6,1,0.16,0,45.76,732.16,1,45.76,22.88,"L",0,732.16,7.3216,117.1456
"57","KRANABETTER AND BANNER 2000",NA,"Orthic Drystic Burnisol",53.0877777777777,-129.472777777777,"HIGH","Fm",0,5,5,0.16,0,45.76,3660.8,5,9.152,22.88,"F",0,3660.8,36.608,2928.64
"58","KRANABETTER AND BANNER 2000",NA,"Orthic Drystic Burnisol",53.0877777777777,-129.472777777777,"HIGH","Bm",-8,0,8,1.45,25,4.27,3714.9,8,0.53375,2.135,"B",25,3714.9,49.532,43092.84
"59","KRANABETTER AND BANNER 2000","Hanmer12","Orthic Ferro-Humic Podozol",54.0352777777777,-130.260833333333,"HIGH","L",21,22,1,0.11,0,51.5066666666667,566.573333333333,1,51.5066666666667,25.7533333333333,"L",0,566.573333333333,5.66573333333333,62.3230666666667
"60","KRANABETTER AND BANNER 2000",NA,"Orthic Ferro-Humic Podozol",54.0352777777777,-130.260833333333,"HIGH","Fm",17,21,4,0.11,0,51.5066666666667,2266.29333333333,4,12.8766666666667,25.7533333333333,"F",0,2266.29333333333,22.6629333333333,997.169066666667
"61","KRANABETTER AND BANNER 2000",NA,"Orthic Ferro-Humic Podozol",54.0352777777777,-130.260833333333,"HIGH","Hr",7,17,10,0.11,0,51.5066666666667,5665.73333333333,10,5.15066666666667,25.7533333333333,"H",0,5665.73333333333,56.6573333333333,6232.30666666667
"62","KRANABETTER AND BANNER 2000",NA,"Orthic Ferro-Humic Podozol",54.0352777777777,-130.260833333333,"HIGH","Hh",0,7,7,0.11,0,51.5066666666667,3966.01333333333,7,7.35809523809524,25.7533333333333,"H",0,3966.01333333333,39.6601333333333,3053.83026666667
"63","KRANABETTER AND BANNER 2000",NA,"Orthic Ferro-Humic Podozol",54.0352777777777,-130.260833333333,"HIGH","Ah",-7,0,7,0.93,0,6.76,4400.76,7,0.965714285714286,3.38,"A",0,4400.76,44.0076,28648.9476
"64","KRANABETTER AND BANNER 2000",NA,"Orthic Ferro-Humic Podozol",54.0352777777777,-130.260833333333,"HIGH","Ae",-15,-7,8,0.93,0,6.76,5029.44,8,0.845,3.38,"A",0,5029.44,50.2944,37419.0336
"65","KRANABETTER AND BANNER 2000",NA,"Orthic Ferro-Humic Podozol",54.0352777777777,-130.260833333333,"HIGH","Bhf",-30,-15,15,0.86,0,6.76,8720.4,15,0.450666666666667,3.38,"B",0,8720.4,87.204,112493.16
"66","KRANABETTER AND BANNER 2000",NA,"Orthic Ferro-Humic Podozol",54.0352777777777,-130.260833333333,"HIGH","BC",-40,-30,10,1.71,0,6.76,11559.6,10,0.676,3.38,"B",0,11559.6,115.596,197669.16
"67","KRANABETTER AND BANNER 2000",NA,"Orthic Ferro-Humic Podozol",54.0352777777777,-130.260833333333,"HIGH","C",-75,-40,35,1.74,0,2.15090909090909,13099.0363636364,35,0.0614545454545455,1.07545454545455,"C",0,13099.0363636364,130.990363636364,797731.314545455
"68","KRANABETTER AND BANNER 2000","Oona","Folisol (but horizons like pod)",53.9566666666666,-130.271666666666,"HIGH","L",45,46,1,0.14,0,45,630,1,45,22.5,"L",0,630,6.3,88.2
"69","KRANABETTER AND BANNER 2000",NA,"Folisol (but horizons like pod)",53.9566666666666,-130.271666666666,"HIGH","Hr",20,45,25,0.14,0,45,15750,25,1.8,22.5,"H",0,15750,157.5,55125
"70","KRANABETTER AND BANNER 2000",NA,"Folisol (but horizons like pod)",53.9566666666666,-130.271666666666,"HIGH","Hh",0,20,20,0.14,0,45,12600,20,2.25,22.5,"H",0,12600,126,35280
"71","KRANABETTER AND BANNER 2000",NA,"Folisol (but horizons like pod)",53.9566666666666,-130.271666666666,"HIGH","Ae",-5,0,5,0.93,0,4.25,1976.25,5,0.85,2.125,"A",0,1976.25,19.7625,9189.5625
"72","KRANABETTER AND BANNER 2000",NA,"Folisol (but horizons like pod)",53.9566666666666,-130.271666666666,"HIGH","Bf",-20,-5,15,1.46,0,4.25,9307.5,15,0.283333333333333,2.125,"B",0,9307.5,93.075,203834.25
